_step,_timestamp,_runtime,step,extrap/loss_L1024,extrap/loss_L2048,extrap/loss_L512,extrap/ppl_L1024,extrap/ppl_L2048,extrap/ppl_L512,optim/lr,stability/grad_norm,stability/train_loss_is_finite,stability/val_loss_is_finite,system/inference_tokens_per_sec,system/peak_gpu_mem_gb,system/sec_per_virtual_epoch,system/tokens_per_sec,system/virtual_epoch,train/loss,val/loss,val/perplexity
0,1779293157.892374,26.289266558,1,,,,,,,6e-07,3.192136526107788,1,1,73102.12728503841,3.8949437141418457,444984.8538866043,5586.342551410676,1.6477342007006166e-06,10.88139533996582,10.926461577415466,55629.091811288476
1,1779293254.5034542,122.90009385,500,,,,,,,0.0003,1.0429306030273438,1,1,72768.60212087579,4.14113712310791,118179.8449969654,21034.363550433078,0.0008238671003503083,6.305225372314453,6.03805330991745,419.07642837770953
2,1779293351.7682369,220.164987081,1000,,,,,,,0.000298747619491258,0.814258873462677,1,1,72687.687638898,4.14113712310791,118115.85921779252,21045.75829581353,0.0016477342007006166,5.685103416442871,5.493343579769134,243.06856882457316
3,1779293448.945232,317.341847159,1500,,,,,,,0.00029500377892902453,1.0469574928283691,1,1,72708.63592996364,4.14113712310791,118064.36310834694,21054.937819964878,0.002471601301050925,5.045236587524414,5.264462637901306,193.34238599753206
4,1779293546.0384855,414.43522765,2000,,,,,,,0.0002888382139419393,0.9294409155845642,1,1,72670.7960461913,4.14113712310791,118012.57939386035,21064.176690042983,0.003295468401401233,4.704273700714111,5.061701834201813,157.85893759339194
5,1779293644.7807648,513.177311929,2500,,,,,,,0.0002803657773400148,0.9595119953155518,1,1,72643.75122184507,4.14113712310791,118379.01872744007,20998.973050481847,0.004119335501751541,4.856815338134766,4.8785040974617,131.43390444477012
6,1779293742.0559053,610.452604489,3000,,,,,,,0.0002697442945866792,1.0101308822631836,1,1,72624.93870712868,4.14113712310791,118326.66749098872,21008.263620618836,0.00494320260210185,4.498210906982422,4.722119164466858,112.40620768703127
7,1779293839.2590961,707.655911757,3500,,,,,,,0.0002571716238090099,1.072174310684204,1,1,72704.8785246781,4.14113712310791,118279.01340069213,21016.727756924745,0.005767069702452158,4.740408897399902,4.632979881763458,102.81999949989378
8,1779293936.432677,804.829356906,4000,,,,,,,0.00024288197007518844,1.1256747245788574,1,1,72575.60708884589,4.14113712310791,118236.52224153042,21024.280627283646,0.006590936802802466,4.603518962860107,4.475096201896667,87.80304682310533
9,1779294033.6694012,902.066036528,4500,,,,,,,0.00022714152259721256,1.1781812906265259,1,1,72625.1902101188,4.14113712310791,118213.56997983264,21028.362686484186,0.007414803903152775,4.587821006774902,4.451411294937134,85.7478741887612
10,1779294132.8105762,1001.20723367,5000,,,,,,,0.00021024349612952672,1.1767956018447876,1,1,72543.44140409985,4.14113712310791,118425.22817102165,20990.77926546295,0.008238671003503083,4.065670013427734,4.466196584701538,87.02510016618382
11,1779294230.125264,1098.522108934,5500,,,,,,,0.0001925026689329299,1.4594972133636475,1,1,72626.96649958177,4.14113712310791,118398.4500401196,20995.52674175775,0.009062538103853391,4.068261623382568,4.37847718000412,79.71654697584243
12,1779294327.4288332,1195.825549541,6000,,,,,,,0.0001742495190511606,1.2368038892745972,1,1,72632.80686013376,4.14113712310791,118374.30987134147,20999.8083765118,0.0098864052042037,3.9665863513946533,4.330740702152252,76.00055950386951
13,1779294424.7419863,1293.138611865,6500,,,,,,,0.0001558240681302303,1.2739125490188599,1,1,72953.91726009539,4.14113712310791,118354.8912515668,21003.253838629098,0.010710272304554009,4.030313014984131,4.310334038734436,74.46535910062907
14,1779294521.9934397,1390.390257749,7000,,,,,,,0.00013756954745850397,1.3222111463546753,1,1,72701.46017466628,4.14113712310791,118332.48681288162,21007.230482114683,0.011534139404904315,3.8551151752471924,4.292158365249634,73.12412687060069
15,1779294621.0036032,1489.40029575,7500,,,,,,,0.00011982600421721645,1.2534334659576416,1,1,72676.6906821837,4.14113712310791,118454.97016892662,20985.508843191543,0.012358006505254624,3.480468511581421,4.2601024270057675,70.81723668031701
16,1779294718.2664757,1586.66323397,8000,,,,,,,0.00010292396704487966,1.3293977975845337,1,1,72636.37599501939,4.14113712310791,118430.16210833019,20989.904765360025,0.013181873605604933,3.655648946762085,4.249762856960297,70.0887893072013
17,1779294815.550306,1683.94705093,8500,,,,,,,8.717828891413191e-05,1.3324952125549316,1,1,72616.84438491106,4.14113712310791,118409.20340519933,20993.620027097044,0.014005740705955241,3.6100399494171143,4.21220064163208,67.50493063344152
18,1779294912.8876953,1781.28425333,9000,,,,,,,7.288228201658188e-05,1.3843554258346558,1,1,72674.50270836499,4.14113712310791,118395.0788893946,20996.12456293293,0.01482960780630555,3.4116740226745605,4.204429471492768,66.98237141038558
19,1779295010.1706915,1878.567476363,9500,,,,,,,6.030225391164706e-05,1.3645455837249756,1,1,72264.99292467332,4.14113712310791,118378.04229034047,20999.14625976917,0.01565347490665586,3.2840096950531006,4.198946714401245,66.61612826708158
20,1779295109.2787995,1977.675494574,10000,,,,,,,4.967254672059517e-05,1.416744351387024,1,1,72644.40389933097,4.14113712310791,118474.40414749832,20982.06647998989,0.016477342007006165,3.465320587158203,4.1899718880653385,66.0209349581123
21,1779295206.530631,2074.92742079,10500,,,,,,,4.11911717762171e-05,1.477320671081543,1,1,72736.61205312995,4.14113712310791,118453.43394831452,20985.781003906228,0.017301209107356476,3.3693811893463135,4.189339995384216,65.97922999043104
22,1779295303.8652296,2172.261825179,11000,,,,,,,3.501612104634899e-05,1.4604341983795166,1,1,72337.9579676042,4.14113712310791,118439.75901265681,20988.20400111044,0.018125076207706783,3.3577890396118164,4.1997053861618046,66.666687218795
23,1779295401.1825545,2269.579344345,11500,,,,,,,3.126242404244361e-05,1.2860500812530518,1,1,72617.99948362546,4.14113712310791,118425.8267696559,20990.673164858523,0.01894894330805709,3.168577194213867,4.184474432468415,65.65898361700023
24,1779295498.4810812,2366.877783514,12000,,,,,,,3.0000005037416198e-05,1.4227651357650757,1,1,72664.61124803555,4.14113712310791,118412.24720937609,20993.080383016048,0.0197728104084074,3.2775750160217285,4.17472460269928,65.02193033093884
25,1779295562.0652301,2430.462740615,,4.174698781967163,4.868926572799682,4.265037894248962,65.02025143876925,130.18110193350907,71.16761676568598,,,,,,,,,,,,
