Attention,Context,Best/Report val loss,Best/Report val PPL,Best/Report step,Final val loss,Final val PPL,Peak mem GB,Train tok/s,Infer tok/s,Grad norm,Train finite,Val finite,Virtual epoch sec,Run URL
GQA,512,4.138351935148239,62.69940356967389,9500.0,4.159433060884476,64.03520824257104,3.6308188438415527,24728.729414323778,87971.7232518208,1.5602747201919556,1.0,1.0,98.20969607088935,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/vqwj1dkl
Sliding window,512,4.160969692468643,64.13368240593338,8500.0,4.179901683330536,65.35942697693355,3.647210597991944,23992.306284709488,85152.4134729107,1.5221285820007324,1.0,1.0,101.22415791047854,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/s7jtrjqq
Sparse block,512,4.235276246070862,69.0807593862718,8000.0,4.251022779941559,70.17715143662817,3.647210597991944,24080.93460222391,84864.68652457229,1.529333233833313,1.0,1.0,100.85160896436781,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/c27xrb4g
GQA,1024,4.186104691028595,65.76611203687968,12000.0,4.186104691028595,65.76611203687968,4.12425708770752,21179.524351249493,73944.48439294308,1.6019841432571411,1.0,1.0,114.66740044408617,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/mdbgwpzd
Sliding window,1024,4.256069672107697,70.53222320324154,8500.0,4.261185097694397,70.8939499468296,4.14113712310791,20706.17567096882,71561.90364070816,1.4373202323913574,1.0,1.0,117.28872770093562,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/jyniv41v
Sparse block,1024,4.105533635616302,60.67511431202836,10500.0,4.10837277173996,60.847623994234965,4.14113712310791,20789.533062412607,71577.30639936056,1.55118989944458,1.0,1.0,116.81844862552016,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/0gmcbzac
GQA,2048,4.697725331783294,109.69736333756832,9000.0,4.71422815322876,111.52269950994156,5.134030342102051,16265.32425930985,52890.43849051554,1.6180590391159058,1.0,1.0,149.31156374641174,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/2k9836jo
Sliding window,2048,4.8110338807106015,122.8585729862938,8000.0,4.848075830936432,127.4948320628272,5.150422096252441,15911.639571015616,50962.66001186795,1.3336113691329956,1.0,1.0,152.630468353739,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/30zfwy42
Sparse block,2048,4.370610666275025,79.0919157209101,9500.0,4.383720231056214,80.13560250613143,5.145539283752441,15920.589747393706,51115.42119941917,1.5204576253890991,1.0,1.0,152.5446631396036,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/0zx17pfo
GQA,4096,5.0105071544647215,149.98078028669966,11000.0,5.03025916814804,152.97265319784518,7.168347358703613,11503.418178159023,36902.06155748582,1.3916138410568235,1.0,1.0,211.11994386251783,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/0i87yv2e
Sliding window,4096,5.0342731237411495,153.58791262066225,8000.0,5.056420111656189,157.02736847551702,7.186562538146973,11180.631961277246,33951.879491705804,1.231760859489441,1.0,1.0,217.21500255183813,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/pnuksk52
Sparse block,4096,4.573717558383942,96.90368609641992,11500.0,4.577132833003998,97.23520458724008,7.184380531311035,11233.85888547647,34745.403676354785,1.4866639375686646,1.0,1.0,216.18582045211386,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/rf7qslez
